P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_UPDATE,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_MASS_LIMIT,P_MASS_ORIGIN,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_RADIUS_LIMIT,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_PERIOD_LIMIT,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_SEMI_MAJOR_AXIS_LIMIT,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_ECCENTRICITY_LIMIT,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_INCLINATION_LIMIT,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_OMEGA_LIMIT,S_NAME,S_NAME_HD,S_NAME_HIP,S_TYPE,S_RA,S_DEC,S_RA_STR,S_DEC_STR,S_MAG,S_MAG_ERROR_MIN,S_MAG_ERROR_MAX,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_TEMPERATURE_LIMIT,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_MASS_LIMIT,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_RADIUS_LIMIT,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_METALLICITY_LIMIT,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_AGE_LIMIT,S_LOG_LUM,S_LOG_LUM_ERROR_MIN,S_LOG_LUM_ERROR_MAX,S_LOG_LUM_LIMIT,S_LOG_G,S_LOG_G_ERROR_MIN,S_LOG_G_ERROR_MAX,S_LOG_G_LIMIT,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TEMP_SURF,P_TEMP_SURF_MIN,P_TEMP_SURF_MAX,P_TYPE,S_TYPE_TEMP,S_RA_TXT,S_DEC_TXT,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG
KOI-55 b,Orbital Brightness Modulation,Kepler,2011,14-05-2014,0.44,,,0,Mass,0.759,,,0,0.240104,-4.00E-06,4.0000000e-06,0,0.006,,,0,,,,0,65,,,0,,,,0,KOI-55,,,B,296.35619,41.092731,19h45m25.48s,+41d05m33.83s,15.154,-0.15,0.15,1231.02,-48.015,48.015,27730,-270,270,0,0.5,0,0,0,0.2,-0.01,0.01,0,-0.106,,,0,,,,0,1.36,-0.063,0.055,0,5.52,-0.03,0.03,0,0.76138699,0.57971014,0.76378148,1.0062997,5.7512740e-05,0.006,0.006,0.006,0.006,636352.13,636352.13,636352.13,7194.8888,7194.8888,7194.8888,8125.4963,8125.4963,8125.4963,Subterran,B,19 45 25.48,+41 05 33.83,22.908677,3.3189768,7.6487576,4.203747,7.2517338,4.4405563,7.2517338,4.0571276,7.2517338,12.923012,3.8517234e+16,0.366163,0,0,Hot,0,0.28628951,Cygnus,Cyg,Swan
Kepler-347 d,Transit,Kepler,2023,16-05-2023,9.48,,,0,M-R relationship,3.04,-0.71,0.45,0,85.517344,-0.001846,0.001846,0,0.3802,,,0,0,,,0,88,,,0,,,,0,Kepler-347,,,,289.1996,49.30564,19h16m47.90s,+49d18m20.31s,14.567,-0.149,0.149,1298.88,-27.66,28.87,5592,-75,75,0,1,-0.07,0.07,0,1.45,-0.34,0.21,0,0.16,-0.15,0.15,0,0.3,-2,2,0,0.342,,,0,4.12,-0.09,0.2,0,1.7659052,3.1184211,1.0257964,0.33743303,0.008048843,0.3802,0.3802,0.3802,0.3802,15.204627,15.204627,15.204627,503.02973,503.02973,503.02973,,568.09304,568.09304,Neptunian,G,19 16 47.90,+49 18 20.31,2.1978599,1.1249215,2.6642111,1.4248596,2.525914,1.5069679,2.525914,1.3754642,2.525914,4.0027988,1.4738015,0.29269258,0,0,Hot,0,0.28468022,Cygnus,Cyg,Swan
Kepler-663 b,Transit,Kepler,2016,16-04-2019,7.27,,,0,M-R relationship,2.6,-0.16,0.2,0,4.9967828,-1.45E-05,1.4480000e-05,0,0.0559,,,0,0,,,0,86.9,,,0,,,,0,Kepler-663,,,,297.80822,47.946634,19h51m13.97s,+47d56m47.88s,15.881,-0.069,0.069,1063.09,-33.18,35.35,5264,-127.67,90.56,0,0.86,-0.04,0.04,0,0.82,-0.04,0.06,0,0.03,-0.165,0.147,0,4.57,-2.83,6,0,-0.313,,,0,4.55,-0.07,0.03,0,1.6721704,2.7961538,1.0754438,0.41363223,0.001139049,0.0559,0.0559,0.0559,0.0559,155.65977,155.65977,155.65977,899.79548,899.79548,899.79548,,1016.1776,1016.1776,Neptunian,K,19 51 13.97,+47 56 47.88,0.48640721,0.53901951,1.2903341,0.68274401,1.2233533,0.72232632,1.2233533,0.65910071,1.2233533,1.8830583,0.7977714,0.43823832,0,0,Hot,0,0.23444113,Cygnus,Cyg,Swan
OGLE-2006-BLG-109L b,Microlensing,OGLE,2008,05-12-2019,231,-19,19,0,Mass,14,,,0,1788.5,-547.5,584,0,2.3,-0.5,0.5,0,,,,0,,,,0,,,,0,OGLE-2006-BLG-109L,,,,268.14379,-30.087778,17h52m34.51s,-30d05m16.0s,,,,1510,-120,110,,,,0,0.51,-0.04,0.05,0,,,,0,,,,0,,,,0,,,,0,,,,0,4.0620192,16.5,1.1785714,0.084183673,0.17668256,2.3,2.3,2.3,2.3,,,,,,,,,,Jovian,,17 52 34.51,-30 05 16.00,,,,,,,,,,,,0.36858799,0,0,,0,,Scorpius,Sco,Scorpion
OGLE-2012-BLG-0838L b,Microlensing,OGLE,2020,24-06-2020,53.1,-260,38.5,0,Mass,8.39,,,0,,,,0,4.43,-0.81,0.71,0,,,,0,,,,0,,,,0,OGLE-2012-BLG-0838L,,,,273.00308,-25.711611,18h12m00.74s,-25d42m41.80s,,,,6320,-1040,830,,,,0,0.4,-0.2,0.29,0,,,,0,,,,0,,,,0,,,,0,,,,0,2.515743,6.3289631,0.75434601,0.089910133,0.2260479,4.43,4.43,4.43,4.43,,,,,,,,,,Jovian,,18 12 00.74,-25 42 41.80,,,,,,,,,,,,0.33991562,0,0,,0,,Sagittarius,Sgr,Archer
KMT-2016-BLG-1820L b,Microlensing,KMTNet,2018,05-12-2019,1450,-680,1600,0,Mass,12.9,,,0,,,,0,1.08,-0.22,0.22,0,,,,0,,,,0,,,,0,KMT-2016-BLG-1820L,,,,268.76474,-29.51692,17h55m03.54s,-29d31m00.91s,,,,6260,-1280,1140,,,,0,0.04,-0.02,0.04,0,,,,0,,,,0,,,,0,,,,0,,,,0,10.602033,112.4031,8.7134187,0.67545881,0.35752933,1.08,1.08,1.08,1.08,,,,,,,,,,Jovian,,17 55 03.54,-29 31 00.91,,,,,,,,,,,,0.15777485,0,0,,0,,Sagittarius,Sgr,Archer
HD 106515 A b,Radial Velocity,La Silla Observatory,2012,12-06-2023,3025.0908,-40.68204,2029.3344,0,Mass,12.5,,,0,3586.8609,-34.26066,59.17074,0,4.491,-0.187,0.187,0,0.565,-0.025,0.021,0,88.922,-39.902,42.184,0,119.062,-4.291,3.941,0,HD 106515 A,HD 106515 A,HIP 59743 A,G5 V,183.77627,-7.2575413,12h15m06.30s,-07d15m27.15s,7.971,-0.002,0.002,34.0915,-0.0851,0.0856,5362,-29,29,0,0.93,-0.11,0.11,0,0.91,-0.01,0.01,0,0.016,-0.009,0.009,0,11.7,-0.2,0.2,0,-0.164,-0.012,0.011,0,4.41,-0.04,0.04,0,15.556583,242.00726,19.360581,1.5488465,0.2895361,5.2078197,1.953585,7.028415,4.6924397,0.041191925,0.013876668,0.17961201,107.00409,87.43212,165.83781,,98.740841,187.28775,Jovian,G,12 15 06.30,-07 15 27.15,0.68548823,0.63649845,1.5185216,0.80621294,1.439696,0.85286616,1.439696,0.77828605,1.439696,2.2354438,0.96900539,0.52611837,0,0,Cold,0,0.11296474,Virgo,Vir,Virgin
Kepler-1010 b,Transit,Kepler,2016,16-04-2019,5.99,,,0,M-R relationship,2.32,-0.18,0.44,0,34.268571,-0.0001181,0.0001181,0,0.193,,,0,0,,,0,89.07,,,0,,,,0,Kepler-1010,,,,289.1926,44.149316,19h16m46.22s,+44d08m57.54s,14.964,-0.183,0.183,579.273,-7.084,7.259,5253,-80.75,67.75,0,0.86,-0.04,0.04,0,0.82,-0.04,0.05,0,-0.01,-0.164,0.155,0,4.79,-3.05,6.1,0,-0.412,,,0,4.55,-0.07,0.03,0,1.6068281,2.5818966,1.1128864,0.47969243,0.003686821,0.193,0.193,0.193,0.193,10.396457,10.396457,10.396457,457.42622,457.42622,457.42622,516.59104,516.59104,516.59104,Superterran,K,19 16 46.22,+44 08 57.54,0.38725764,0.48123665,1.1524611,0.60955405,1.0926372,0.64490067,1.0926372,0.58844592,1.0926372,1.6802108,0.78283668,0.44168594,0,0,Hot,0,0.35274053,Cygnus,Cyg,Swan
Kepler-571 b,Transit,Kepler,2016,16-04-2019,7.46,,,0,M-R relationship,2.64,-0.17,0.32,0,4.7985994,-5.40E-06,5.4000000e-06,0,0.0546,,,0,0,,,0,86.64,,,0,,,,0,Kepler-571,,,,286.55104,49.418731,19h06m12.25s,+49d25m07.43s,14.951,-0.149,0.149,723.875,-9.708,9.971,5527,-79.46,75.23,0,0.93,-0.04,0.04,0,0.9,-0.05,0.11,0,0.01,-0.162,0.137,0,4.68,-2.96,5.37,0,-0.223,,,0,4.51,-0.11,0.05,0,1.680999,2.8257576,1.0703627,0.40544042,0.001093276,0.0546,0.0546,0.0546,0.0546,200.73112,200.73112,200.73112,958.856,958.856,958.856,,1082.8772,1082.8772,Neptunian,G,19 06 12.25,+49 25 07.43,0.5984116,0.58919443,1.3981781,0.74629279,1.3255997,0.78934793,1.3255997,0.72042731,1.3255997,2.0886408,1.2865766,0.45160644,0,0,Hot,0,0.23082359,Draco,Dra,Dragon
Kepler-859 b,Transit,Kepler,2016,16-04-2019,9.75,,,0,M-R relationship,3.09,-0.15,0.18,0,20.381776,-5.32E-05,5.3210000e-05,0,0.1345,,,0,0,,,0,89.59,,,0,,,,0,Kepler-859,,,,286.74183,43.19012,19h06m58.04s,+43d11m24.43s,15.977,-1.133,1.133,839.903,-26.573,28.333,5020,-50.72,48.72,0,0.81,-0.04,0.04,0,0.77,-0.04,0.03,0,-0.02,-0.171,0.148,0,4.57,-2.76,6.07,0,-0.556,,,0,4.59,-0.05,0.02,0,1.7763276,3.1553398,1.0211456,0.33046782,0.003083288,0.1345,0.1345,0.1345,0.1345,15.365809,15.365809,15.365809,504.3576,504.3576,504.3576,,569.59265,569.59265,Neptunian,K,19 06 58.04,+43 11 24.43,0.27797133,0.41256509,0.9966936,0.52257438,0.94495499,0.55301827,0.94495499,0.50448736,0.94495499,1.4235206,0.5142266,0.42957521,0,0,Hot,0,0.28179189,Lyra,Lyr,Lyre
HD 137388 b,Radial Velocity,La Silla Observatory,2011,04-09-2018,63.566,-6.3566,6.3566,0,Msini,9.32,,,0,330,-3,3,0,0.89,-0.02,0.02,0,0.36,-0.12,0.12,0,,,,0,86,-35,23,0,HD 137388,HD 137388,HIP 76351,K2 IV,233.91508,-80.204417,15h35m39.62s,-80d12m15.90s,8.71,-0.03,0.03,40.4841,-0.054,0.054,5181,-29,29,0,0.68,-0.05,0.05,0,0.88,-0.01,0.01,0,0.19,,,0,6.45,-0.74,0.74,0,-0.337,,,0,4.39,-0.03,0.03,0,2.6115869,6.8203863,0.7318011,0.078519431,0.025857938,0.947672,0.5696,1.2104,0.9050715,0.62281713,0.31415369,1.4186003,220.55061,190.71518,278.01275,,215.38282,313.97172,Jovian,K,15 35 39.62,-80 12 15.90,0.46025657,0.52662017,1.2644412,0.66703974,1.1988043,0.7057743,1.1988043,0.64394512,1.1988043,1.8317397,0.63966732,0.42919478,1,1,Warm,0,0.40671163,Apus,Aps,Bird of Paradise
HATS-50 b,Transit,HATSouth,2017,03-01-2018,123.9537,-31.783,31.783,0,Mass,12.666,-0.841,0.841,0,3.8297015,-4.60E-06,4.6000000e-06,0,0.05046,-0.0006,0.0006,0,0.516,,,1,87.54,-0.66,0.66,0,,,,0,HATS-50,,,,300.42808,-26.077564,20h01m42.74s,-26d04m39.23s,14.045,-0.069,0.069,756.742,-16.261,16.978,5990,-110,110,0,1.17,-0.04,0.04,0,1.12,-0.06,0.06,0,,,,0,1.2,-1.1,1.1,0,0.143,-0.079,0.067,0,4.41,-0.04,0.04,0,3.1283116,9.7863335,0.77264594,0.061001574,0.001155941,0.057177639,0.02442264,0.07649736,0.052307865,637.28431,237.52378,2330.3158,1209.3895,1000.061,1769.9191,,1129.4117,1998.8455,Jovian,G,20 01 42.74,-26 04 39.23,1.3899526,0.87346286,2.0470802,1.1063425,1.9408183,1.1696793,1.9408183,1.067926,1.9408183,3.1831988,3.0769651,0.38858288,0,0,Hot,0,0.071974228,Sagittarius,Sgr,Archer
HD 30177 b,Radial Velocity,Anglo-Australian Telescope,2002,12-06-2023,2670.7121,-155.41809,394.42505,0,Mass,12.6,,,0,2514.5342,-4.34065,5.21645,0,3.604,-0.147,0.135,0,0.207,-0.017,0.012,0,85.393,-18.742,14.354,0,25.044,-2.875,5.476,0,HD 30177,HD 30177,HIP 21850,G8 V,70.477096,-58.020809,04h41m54.50s,-58d01m14.91s,8.41,-0.03,0.03,55.5867,-0.1264,0.127,5580,-12,12,0,0.98,-0.12,0.12,0,1.02,-0.03,0.03,0,0.37,-0.021,0.021,0,2.525,-1.954,1.954,0,0.083,-0.01,0.01,0,4.42,-0.03,0.03,0,14.55889,211.96128,16.822324,1.3351051,0.39931003,3.6812139,2.857972,4.350028,3.6235805,0.095266499,0.063975825,0.14821224,140.37209,128.11609,158.05954,,144.68699,178.50342,Jovian,G,04 41 54.50,-58 01 14.91,1.2105981,0.83546068,1.9793762,1.0582202,1.8766283,1.1192135,1.8766283,1.0215366,1.8766283,2.970734,1.434039,0.41464563,0,0,Cold,0,0.16040188,Dorado,Dor,Goldfish
Kepler-1077 b,Transit,Kepler,2016,16-04-2019,8.1,,,0,M-R relationship,2.77,-0.33,0.7,0,34.351187,-0.0001503,0.0001503,0,0.2101,,,0,0,,,0,88.39,,,0,,,,0,Kepler-1077,,,,291.03363,42.267845,19h24m08.07s,+42d16m04.24s,14.923,-0.149,0.149,1101.42,-28.41,28.41,5816,-113.54,99.93,0,1.02,-0.05,0.06,0,1.02,-0.09,0.23,0,0.03,-0.16,0.126,0,4.17,-2.4,3.16,0,0.006,,,0,4.43,-0.16,0.07,0,1.7100257,2.9241877,1.0556634,0.38110593,0.00419282,0.2101,0.2101,0.2101,0.2101,22.969307,22.969307,22.969307,557.68207,557.68207,557.68207,,629.81427,629.81427,Neptunian,G,19 24 08.07,+42 16 04.24,1.0139114,0.7539394,1.7744873,0.9549567,1.6823753,1.0097781,1.6823753,0.92182171,1.6823753,2.7187155,2.1798979,0.45685765,0,0,Hot,0,0.27181437,Lyra,Lyr,Lyre
Kepler-1173 b,Transit,Kepler,2016,16-04-2019,0.64,,,0,M-R relationship,0.89,-0.07,0.23,0,0.7698536,-1.20E-06,1.2000000e-06,0,0.0157,,,0,0,,,0,80.42,,,0,,,,0,Kepler-1173,,,,293.13118,45.663415,19h32m31.48s,+45d39m48.30s,13.896,-0.103,0.103,377.06,-2.3975,2.3975,5252,-116.76,92.48,0,0.86,-0.05,0.04,0,0.82,-0.04,0.06,0,0,-0.164,0.148,0,4.79,-3,6.4,0,-0.435,,,0,4.55,-0.07,0.03,0,0.8479983,0.71910112,0.80797879,0.90784134,0.000142313,0.0157,0.0157,0.0157,0.0157,1490.0495,1490.0495,1490.0495,1582.7047,1582.7047,1582.7047,1787.4162,1787.4162,1787.4162,Terran,K,19 32 31.48,+45 39 48.30,0.3672823,0.46868576,1.1224443,0.59365659,1.0641786,0.62808202,1.0641786,0.57309903,1.0641786,1.6363031,0.78149292,0.44168594,0,0,Hot,0,0.29264349,Cygnus,Cyg,Swan
Kepler-1563 b,Transit,Kepler,2016,16-04-2019,0.347,,,0,M-R relationship,0.75,-0.08,0.12,0,3.432766,-2.98E-05,2.9760000e-05,0,0.0442,,,0,0,,,0,81.58,,,0,,,,0,Kepler-1563,,,,288.57359,51.47277,19h14m17.66s,+51d28m21.97s,13.696,-0.08,0.08,616.697,,,5765,-106.69,100.22,0,1,-0.05,0.05,0,0.99,-0.08,0.15,0,0.02,-0.169,0.143,0,4.07,-2.34,3.22,0,-0.01,,,0,4.45,-0.13,0.06,0,0.68019605,0.46266667,0.61688889,0.82251852,0.000310683,0.0442,0.0442,0.0442,0.0442,500.21356,500.21356,500.21356,1204.7268,1204.7268,1204.7268,1360.5496,1360.5496,1360.5496,Subterran,G,19 14 17.66,+51 28 21.97,0.97723722,0.74245462,1.7498069,0.94041114,1.658976,0.99444287,1.658976,0.90778777,1.658976,2.6690934,1.9838892,0.45201957,0,0,Hot,0,0.28850741,Cygnus,Cyg,Swan
Kepler-118 b,Transit,Kepler,2014,16-04-2019,4.5,,,0,M-R relationship,1.96,-0.94,0.94,0,7.518496,-5.60E-05,5.6000000e-05,0,0.073,,,0,0,,,0,89.63,,,0,,,,0,Kepler-118,,,,299.21319,41.424819,19h56m51.17s,+41d25m29.35s,14.867,-0.149,0.149,574.228,-6.741,6.899,5274,-200,200,0,0.81,-0.03,0.05,0,1.09,-0.49,0.49,0,0.18,-0.15,0.15,0,13.9,-2.8,2.8,0,-0.377,,,0,4.32,-0.3,0.3,0,1.5152288,2.2959184,1.1713869,0.59764639,0.001293254,0.073,0.073,0.073,0.073,78.768809,78.768809,78.768809,758.90651,758.90651,758.90651,857.06565,857.06565,857.06565,Superterran,K,19 56 51.17,+41 25 29.35,0.41975898,0.50046363,1.1976131,0.63390742,1.1354455,0.67065133,1.1354455,0.61195472,1.1354455,1.7492979,0.79555187,0.51707751,0,0,Hot,0,0.27347748,Cygnus,Cyg,Swan
Kepler-1567 b,Transit,Kepler,2016,16-04-2019,7.9,,,0,M-R relationship,2.73,-0.23,0.4,0,153.97958,-0.001785,0.001785,0,0.552,,,0,0,,,0,89.98,,,0,,,,0,Kepler-1567,,,,286.69515,40.291889,19h06m46.84s,+40d17m30.80s,15.92,-0.217,0.217,1206.11,-42.24,45.35,5655,-167.77,149.03,0,0.95,-0.06,0.06,0,0.93,-0.07,0.13,0,-0.03,-0.16,0.141,0,4.17,-2.4,4.4,0,-0.122,,,0,4.49,-0.11,0.06,0,1.7011093,2.8937729,1.0599901,0.38827475,0.011186447,0.552,0.552,0.552,0.552,2.4781172,2.4781172,2.4781172,319.61722,319.61722,319.61722,,360.95743,360.95743,Neptunian,G,19 06 46.84,+40 17 30.80,0.75509223,0.6569247,1.5529645,0.83207934,1.4723514,0.87997585,1.4723514,0.8032268,1.4723514,2.3461932,1.6144291,0.44615803,0,0,Hot,0,0.55518447,Lyra,Lyr,Lyre
Kepler-151 c,Transit,Kepler,2014,16-04-2019,5.02,,,0,M-R relationship,2.09,-1.04,1.04,0,24.674612,-0.000106,0.000106,0,0.16,,,0,0,,,0,88.69,,,0,,,,0,Kepler-151,,,,292.16279,41.023195,19h28m39.07s,+41d01m23.50s,14.957,-0.229,0.229,649.919,-9.538,9.538,5460,-200,200,0,0.87,-0.05,0.04,0,0.83,-0.41,0.41,0,0.124,-0.013,0.013,0,4.6,-3.9,3.9,0,-0.334,,,0,4.55,-0.3,0.3,0,1.5498109,2.4019139,1.1492411,0.54987612,0.002870561,0.16,0.16,0.16,0.16,18.103395,18.103395,18.103395,525.46007,525.46007,525.46007,593.42458,593.42458,593.42458,Superterran,G,19 28 39.07,+41 01 23.50,0.46344692,0.52049906,1.2377732,0.65928214,1.1735212,0.69736362,1.1735212,0.63643766,1.1735212,1.8380773,1.1214791,0.44041039,0,0,Hot,0,0.31955641,Cygnus,Cyg,Swan
PDS 70 b,Imaging,Paranal Observatory,2018,06-07-2020,953.49,-317.83,317.83,0,Mass,30.488,-1.906,2.242,0,43500,,,0,20,-2,2,0,0.19,-0.09,0.15,0,140,-6,7,0,148,-31,31,0,PDS 70,,,K7,212.04214,-41.398041,14h08m10.11s,-41d23m52.95s,12.032,-0.08,0.08,113.064,-0.519,0.523,3972,-36,36,0,0.76,-0.02,0.02,0,1.26,-0.15,0.15,0,-0.11,-0.01,0.01,0,0.005,-0.001,0.001,0,-0.456,-0.129,0.099,0,3.68,-0.01,0.01,0,5.5923405,31.274272,1.0257896,0.033645682,1.7477036,20.361,16.2,23.8,20.091338,0.000891095,0.000617797,0.001333429,43.711457,40.161621,48.679062,,45.35624,54.975351,Jovian,K,14 08 10.11,-41 23 52.95,0.34994517,0.48009768,1.2168607,0.60811803,1.1536826,0.64435654,1.1536826,0.58704515,1.1536826,1.5972164,0.083176206,0.13499707,0,0,Cold,0,0.032156083,Centaurus,Cen,Centaur
OGLE-2017-BLG-1049L b,Microlensing,OGLE,2020,01-04-2021,1760,-912,1150,0,Mass,12.8,,,0,,,,0,3.92,-1.32,1.1,0,,,,0,,,,0,,,,0,OGLE-2017-BLG-1049L,,,,269.53354,-27.144222,17h58m08.05s,-27d08m39.20s,,,,5670,-1520,1110,,,,0,0.55,-0.29,0.36,0,,,,0,,,,0,,,,0,,,,0,,,,0,11.726039,137.5,10.742187,0.8392334,0.57781389,3.92,3.92,3.92,3.92,,,,,,,,,,Jovian,,17 58 08.05,-27 08 39.20,,,,,,,,,,,,0.37798279,0,0,,0,,Sagittarius,Sgr,Archer
NGTS-8 b,Transit,Paranal Observatory,2019,18-11-2019,295.5819,-9.5349,12.7132,0,Mass,12.218,-0.336,0.336,0,2.4997,-1.00E-05,1.0000000e-05,0,0.035,-0.001,0.001,0,0.01,-0.01,0.014,0,86.9,-0.5,0.5,0,,,,0,NGTS-8,,,K0 V,328.97592,-14.06844,21h55m54.22s,-14d04m06.38s,13.69,-0.103,0.103,428.976,-5.481,5.621,5241,-50,50,0,0.89,-0.04,0.05,0,0.98,-0.02,0.02,0,0.24,-0.09,0.09,0,12.48,-3.68,3.23,0,-0.21,-0.014,0.013,0,4.41,-0.03,0.03,0,4.91857,24.192331,1.9800566,0.16206061,0.00240022,0.03500175,0.03465,0.03535,0.035000438,503.36803,493.42502,513.56276,1206.599,1200.6184,1212.6852,,1355.9098,1369.5374,Jovian,K,21 55 54.22,-14 04 06.38,0.616595,0.60762395,1.4557566,0.76964159,1.3801887,0.8142817,1.3801887,0.74299066,1.3801887,2.1201362,0.77567823,0.52407158,0,0,Hot,0,0.074699599,Capricornus,Cap,Sea Goat
TYC 3318-01333-1 b,Radial Velocity,Multiple Observatories,2018,23-01-2018,1086.9786,-111.2405,111.2405,0,Msini,13.1,,,0,562,-4,4.1,0,1.414,-0.063,0.063,0,0.098,-0.032,0.082,0,,,,0,129,-36,40,0,TYC 3318-01333-1,,,,45.582572,49.744142,03h02m19.82s,+49d44m38.91s,9.901,-0.008,0.008,490.61,-9.861,9.861,4776,-10,10,0,1.19,-0.14,0.14,0,5.9,-1,1,0,-0.06,-0.06,0.06,0,,,,0,1.21,-0.11,0.11,0,2.97,-0.04,0.04,0,9.109087,82.975466,6.334005,0.48351183,0.12378439,1.42079,1.275428,1.552572,1.4157029,8.1507344,6.7281629,9.9698381,429.64885,410.27385,452.6596,,463.33984,511.20789,Jovian,K,03 02 19.82,+49 44 38.91,16.218101,3.1863354,7.7755932,4.0359787,7.3719524,4.2723079,7.3719524,3.8963234,7.3719524,10.87336,0.38440504,0.48887757,0,0,Hot,0,0.17930592,Perseus,Per,Perseus
Kepler-1095 b,Transit,Kepler,2016,16-04-2019,1.92,,,0,M-R relationship,1.21,-0.12,0.2,0,4.2710309,-1.48E-05,1.4800000e-05,0,0.0514,,,0,0,,,0,89.92,,,0,,,,0,Kepler-1095,,,,293.26242,41.365015,19h33m02.98s,+41d21m54.06s,14.597,-0.149,0.149,792.522,-11.7885,11.7885,5658,-136.1,206.29,0,0.94,-0.07,0.07,0,0.92,-0.09,0.14,0,-0.09,-0.195,0.158,0,4.47,-2.71,4.43,0,-0.093,,,0,4.48,-0.12,0.06,0,1.2596733,1.5867769,1.3113858,1.0837899,0.000652338,0.0514,0.0514,0.0514,0.0514,305.544,305.544,305.544,1065.0455,1065.0455,1065.0455,1202.8015,1202.8015,1202.8015,Terran,G,19 33 02.98,+41 21 54.06,0.80723503,0.67910765,1.6052667,0.86017683,1.5219387,0.90968815,1.5219387,0.83034965,1.5219387,2.425849,1.6170573,0.44976471,0,0,Hot,0,0.29430065,Cygnus,Cyg,Swan
K2-170 b,Transit,K2,2018,05-09-2019,2.6,,,0,M-R relationship,1.418,-0.131,0.202,0,7.576544,-0.00169,0.001841,0,0.074458469,,,0,,,,0,87.989,-3.339,1.423,0,,,,0,K2-170,,,,335.45069,-14.593355,22h21m48.17s,-14d35m36.08s,12.668,-0.114,0.114,392.872,-6.298,6.502,5748,-50,50,0,0.96,-0.03,0.03,0,0.98,-0.07,0.11,0,-0.11,-0.08,0.08,0,,,,0,0.072,-0.01,0.01,0,4.34,-0.1,0.1,0,1.3540932,1.8335684,1.2930666,0.91189462,0.001038166,0.074458469,0.074458469,0.074458469,0.074458469,212.89811,212.89811,212.89811,973.06681,973.06681,973.06681,1098.9261,1098.9261,1098.9261,Terran,G,22 21 48.17,-14 35 36.08,1.1803206,0.81679414,1.9258912,1.0345719,1.8259199,1.0940305,1.8259199,0.99868453,1.8259199,2.9333492,1.9007448,0.45510143,0,0,Hot,0,0.28891949,Aquarius,Aqr,Water Carrier
HD 76700 b,Radial Velocity,Anglo-Australian Telescope,2002,04-09-2018,66.7443,-9.5349,9.5349,0,Msini,9.6,,,0,3.97097,-0.00023,0.00023,0,0.05,0,0,0,0.09,-0.08,0.08,0,,,,0,30,,,0,HD 76700,HD 76700,HIP 43686,G6 V,133.47822,-66.800475,08h53m54.77s,-66d48m01.71s,8.16,-0.03,0.03,60.8831,-0.1171,0.1175,5644,-33,33,0,0.99,-0.17,0.17,0,1.37,-0.03,0.03,0,0.31,,,0,11,-1.8,1.8,0,0.257,-0.001,0.001,0,4.16,-0.07,0.07,0,2.6367653,6.9525312,0.72422201,0.075439792,0.00185235,0.0502025,0.0455,0.0545,0.05005076,725.81518,608.42492,872.92555,1320.2141,1265.1775,1384.6628,,1428.8192,1563.759,Jovian,G,08 53 54.77,-66 48 01.71,1.8071741,1.016945,2.4048113,1.2880915,2.2799795,1.3622513,2.2799795,1.2434286,2.2799795,3.6296418,1.6061356,0.53170248,0,0,Hot,0,0.090949556,Volans,Vol,Flying Fish
